date,variable,strat,type,bottom,top,lower,upper,median,mean,sd,county
2020-04-07,R,NA,Estimate,0.983473302867594,1.4219458263571,1.1435721039916,1.27605719599238,1.19238696790029,1.20282359715979,0.162465420121506,Waushara
2020-04-08,R,NA,Estimate,0.979738242095013,1.39971193889712,1.12826512013128,1.25565544174039,1.19124566938623,1.20134950031322,0.150099758501365,Waushara
2020-04-09,R,NA,Estimate,0.990729635061923,1.39089246225533,1.12886945797429,1.25107053468423,1.19192361691645,1.19982644624246,0.137537588025015,Waushara
2020-04-10,R,NA,Estimate,1.01721781873886,1.40151754642214,1.12708862651553,1.24205833224643,1.19325079668141,1.19834294981946,0.125303650123108,Waushara
2020-04-11,R,NA,Estimate,1.03942960460692,1.39528906728412,1.1350938446624,1.24252480894774,1.1945863338164,1.19698140933245,0.113927068110605,Waushara
2020-04-12,R,NA,Estimate,1.03293406387661,1.35404436644666,1.13651461086118,1.24267345297166,1.19626887535001,1.19581151553137,0.103888842844582,Waushara
2020-04-13,R,NA,Estimate,1.04599215632778,1.33981896571266,1.14005078909347,1.24075769408535,1.19499750190692,1.19488595561897,0.0955678006364471,Waushara
2020-04-14,R,NA,Estimate,1.06414604957604,1.3394651242229,1.14383333553313,1.24119980376054,1.19444670512921,1.19423845418562,0.0891873245839898,Waushara
2020-04-15,R,NA,Estimate,1.06391902415991,1.31893190707312,1.14813661208914,1.24123905851302,1.19344801351648,1.19388381791914,0.0847760662322394,Waushara
2020-04-16,R,NA,Estimate,1.04657134125607,1.30712106799823,1.14626478302598,1.23365979577781,1.19545545431181,1.19381945270336,0.0821650567587066,Waushara
2020-04-17,R,NA,Estimate,1.04969714388184,1.31255838304528,1.15880285950124,1.24267890817936,1.19555649349322,1.19402778358451,0.0810337889100297,Waushara
2020-04-18,R,NA,Estimate,1.07483430590824,1.33772071465154,1.16569535301511,1.24733765601913,1.19656876106968,1.19447908014464,0.0809893378803849,Waushara
2020-04-19,R,NA,Estimate,1.05792048017325,1.31377797206736,1.15796127190403,1.23635899943702,1.19752039653626,1.1951343170498,0.0816435149001649,Waushara
2020-04-20,R,NA,Estimate,1.06933713955709,1.32564928173492,1.16181293563434,1.23799524471724,1.19691568762928,1.19594783826332,0.0826621539657763,Waushara
2020-04-21,R,NA,Estimate,1.08007131735357,1.33985591261646,1.16183904229821,1.23636498288801,1.19639934078928,1.19686971635809,0.0837830696770092,Waushara
2020-04-22,R,NA,Estimate,1.07301540443855,1.34121853193179,1.16550768762485,1.23828303103412,1.19726766486592,1.19784779258243,0.0848133964261746,Waushara
2020-04-23,R,NA,Estimate,1.08580330281319,1.34854456036436,1.15772842098956,1.23003086866466,1.19756423660256,1.19882944544732,0.0856187255968442,Waushara
2020-04-24,R,NA,Estimate,1.08725764673706,1.34869183390384,1.1554549696407,1.22442217962313,1.19760475294414,1.19976316720058,0.0861123049351833,Waushara
2020-04-25,R,NA,Estimate,1.08265239225711,1.34786417894746,1.15245278637581,1.22132349061664,1.19830624932157,1.20060003222124,0.0862480244395469,Waushara
2020-04-26,R,NA,Estimate,1.03735982472887,1.29694287806852,1.16298506038203,1.23167811371024,1.19857605711056,1.20129512349605,0.0860176832630741,Waushara
2020-04-27,R,NA,Estimate,1.05780388265593,1.30126156623717,1.16294291807453,1.23314506892023,1.19701554497467,1.20180894812092,0.0854510083240907,Waushara
2020-04-28,R,NA,Estimate,1.09148811165227,1.32821399471587,1.16628815607618,1.23726851309188,1.19511908237834,1.20210882646327,0.0846157827212407,Waushara
2020-04-29,R,NA,Estimate,1.07366338427578,1.30713231903449,1.16184030182318,1.23293171326164,1.19378311725535,1.20217018966231,0.0836151810954511,Waushara
2020-04-30,R,NA,Estimate,1.08332438093933,1.30752513898006,1.15829026174916,1.22689221614932,1.19431562033126,1.20197767517598,0.0825800230198831,Waushara
2020-05-01,R,NA,Estimate,1.08207732090841,1.30951303499422,1.16069296130082,1.22897134243577,1.19438041382119,1.20152587996591,0.0816550434171793,Waushara
2020-05-02,R,NA,Estimate,1.09032185648408,1.31935461356194,1.15600790489799,1.22487011856927,1.19394551987061,1.20081962601785,0.080980151705087,Waushara
2020-05-03,R,NA,Estimate,1.08789076929861,1.32218375045885,1.15632973266405,1.22769714094363,1.19300180346583,1.19987362160696,0.0806695570573541,Waushara
2020-05-04,R,NA,Estimate,1.07519896186864,1.32771246836672,1.15089408955311,1.22356928276817,1.19063651332972,1.19871146606235,0.0807929773827671,Waushara
2020-05-05,R,NA,Estimate,1.07250755479009,1.32365385025799,1.1463734710909,1.21922530725445,1.19065895131607,1.19736403725232,0.0813632693951737,Waushara
2020-05-06,R,NA,Estimate,1.05847906284229,1.31469179241728,1.14498205757215,1.21899430777166,1.18987028223694,1.19586739985751,0.0823333692266905,Waushara
2020-05-07,R,NA,Estimate,1.05318597102198,1.30953975986332,1.15333986984304,1.22738579453987,1.18871800315759,1.19426045266559,0.0836028610861932,Waushara
2020-05-08,R,NA,Estimate,1.05224732883261,1.31216254867393,1.14740499003049,1.22036389140326,1.18836189164089,1.19258257139832,0.0850319931312037,Waushara
2020-05-09,R,NA,Estimate,1.05564152673676,1.31427112526828,1.14698849127856,1.21988572026151,1.18620891133272,1.19087148863883,0.0864596720587059,Waushara
2020-05-10,R,NA,Estimate,1.04451560196085,1.30426347751926,1.14881166178449,1.22107247909284,1.18393059528657,1.18916158904836,0.0877221473694239,Waushara
2020-05-11,R,NA,Estimate,1.0537263865837,1.31362440382884,1.14996881891087,1.22114819957426,1.18312869922218,1.18748270473276,0.0886701439423872,Waushara
2020-05-12,R,NA,Estimate,1.05042346368125,1.30890781135711,1.15033553994692,1.2219895742457,1.18148292890057,1.18585939727801,0.0891833282304474,Waushara
2020-05-13,R,NA,Estimate,1.04600767925685,1.30500297262341,1.1487811787484,1.22149721075488,1.18201287173434,1.1843106327882,0.0891817389522566,Waushara
